CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
2793271668,672574233,791.78,2815840743.503268,47030363.090789296
2831915507,685713109,813.07,2815945125.0844154,46895195.60702958
2918686928,716149210,794.5,2816607975.4258065,47461924.89364354
2769834383,681521748,834.39,2816308144.705128,47456597.14433123
2788666474,686528259,842.19,2816132083.10828,47356303.522179015
2812249297,705167171,896.66,2816107508.512658,47207208.168610096
2963819943,734149501,806.3,2817036517.534591,48485748.18832317
2775993157,719114858,907.98,2816779996.53125,48442104.97875295
2849065304,753044301,961.65,2816980526.3913045,48357999.362272345
2869722251,730636596,780.94,2817306092.5925927,48385182.34723222
2838248237,723703882,772.18,2817434572.006135,48264244.14453691
2822633034,693554513,836.47,2817466269.945122,48118573.88645461
2788292708,686940300,848.07,2817289460.478788,48025944.479833156
2957905646,729908140,804.94,2818136545.933735,49101865.43028131
2810615878,702055215,902.42,2818091511.994012,48958071.45937895
2786879138,729590015,921.72,2817905724.053571,48871156.19389258
2802878657,711325427,865.45,2817816806.497041,48739980.37360183
2932600766,724156309,798.11,2818492006.2588234,49382768.86487541
2760025062,722271902,904.74,2818150094.3040934,49439562.569819175
2775882658,732804093,909.72,2817904353.395349,49400262.37377181
2801594598,715767118,762.41,2817810077.352601,49272795.50434378
2805118854,691126363,845.96,2817737139.2873564,49140368.41968756
2846902261,704024191,870.6,2817903797.1257143,49049056.16647831
2820329305,718124175,924.63,2817917578.4204545,48909853.53733807
2838625277,717755702,772.34,2818034571.0677967,48796184.56579486
2792620622,704373681,855.82,2817891796.073034,48695984.79851367
2801811653,681853983,834.1,2817801962.8715086,48574560.38030234
2811790468,737217640,948.37,2817768565.677778,48441503.91580702
2844415542,722420860,773.99,2817915786.5414367,48347865.43356579
2983154564,761441808,860.94,2818823691.912088,49738008.38698456
2783295977,683945735,838.9,2818629551.3934426,49671025.19892592
3148773034,819199923,857.11,2820423809.451087,55162897.24203501
2825990744,694749774,877.23,2820453900.989189,55015120.57290798
2772802591,677682143,834.4,2820197711.1505375,54977570.47625988
2859810078,741242905,944.7,2820409541.989305,54906431.54150629
2873947784,729409676,781.98,2820694319.87234,54898505.52430048
2800075207,700780379,850.97,2820585224.037037,54773508.118365474
2819892728,718957426,883.9,2820581579.3210526,54629200.1269911
2915945942,717032075,960.95,2821080869.1780105,54918938.5242302
2860253303,724942256,778.37,2821284892.2708335,54848258.52496072
